Timestamp,Gender,Location,Age,Qualification_completed,field_of_study,Purpose_for_chilla,Research/Working experience (Float/Int) years,Age (years)-Float/Int,What are you?,Location coordinates (latitude)-Float,Location coordinates (longitude) (float),Blood group ,Which mobile sim do you use,Prepaid or Postpaid,Which PC are you using?,Your Weight in kg? (float),Height in cm? Freelancer- (Float),Do you wear glasses?,When did you write your first line of code?,Your favorite programming language?,Marital Status?,"How many hours you code a day? (int) e.g: 5,4,3",Are you Vaccinated?,Light kitni der band hti hy? int,Where do you live?
1/4/2022 18:05,Male,Pakistan,41-45,Masters,Natural Sciences,to boost my skill set,17,42,Employed,35.57424,73.12677,O+,Mobilink,Postpaid,Apna Laptop,90,179,Yes,In this chilla,Others,Yes,1,Yes,20,Urbun
1/4/2022 18:05,Male,West,26-30,Masters,Natural Sciences,to boost my skill set,2.5,29,Student,59.6864,10.793,B+,International,Postpaid,Apna Laptop,77.5,171.5,No,<3 years ago,Python,Yes,2,Yes,0,International
1/4/2022 18:05,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,0,90,Unemplyed,30.46,70.96,AB+,Mobilink,Prepaid,Apna Laptop,90,1.4,No,In this chilla,Python,No,4,Yes,5,Rural
1/4/2022 18:05,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,1.5 years,23,Unemplyed,zyx,xyz,O+,Telenor,Prepaid,Apna Laptop,67.9,17,Yes,>3 years ago,C++,No,1.5,Yes,nahi jati Alhamdulillah,Urbun
1/4/2022 18:05,Male,Pakistan,21-25,Pre-Bachelors,Software Eng.,to boost my skill set,0,21,Student,32.564958,74.074111,A-,Zong,Prepaid,Apna Laptop,71.5,170.688,Yes,>3 years ago,Javascript,No,6,Yes,4,Urbun
1/4/2022 18:05,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,0.6,25,Student,24.611198,46.388911,O+,International,Prepaid,Apna Laptop,76,176,Yes,<3 years ago,Python,No,1,Yes,0,International
1/4/2022 18:05,Male,Pakistan,16-20,Pre-Bachelors,Enginnering,Switch my field of study,0,20,Employed,33.7827249,72.7270802,A+,Mobilink,Prepaid,Desktop,48.0 Kg,155.0 Cm,No,In this chilla,Python,No,2,Yes,0,Urbun
1/4/2022 18:05,Male,Pakistan,26-30,Bachelors,CS/IT,to boost my skill set,3.5,26.11,Employed,34.3313°,73.1980°,B+,Zong,Prepaid,Apna Laptop,76,60.6,No,>3 years ago,Python,No,4,Yes,3,Urbun
1/4/2022 18:05,Female,Pakistan,21-25,Masters,Biology,to boost my skill set,1.5,24,Student,14.6,10.3,AB+,Mobilink,Prepaid,Apna Laptop,42.6,40.3,Yes,In this chilla,Python,No,5,Yes,5,Urbun
1/4/2022 18:05,Female,Pakistan,41-45,Masters,Enginnering,to boost my skill set,4,43,Employed,27,77,B+,Mobilink,Prepaid,Apna Laptop,70,1615,Yes,>3 years ago,C++,Yes,1,Yes,4,Rural
1/4/2022 18:05,Female,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,3,24,Employed,17.38714,78.491684,O+,Mobilink,Prepaid,Apna Laptop,48,152.4,Yes,In this chilla,Python,No,4,Yes,12,Urbun
